Event	Site	Reference (SST proxy reference)	URL ref (SST proxy reference)	Reference (d18O reference)	URL ref (d18O reference)	Season (A annual S summer (months JFM))	Proxy (A alkenone UK'37 D diatom as...)	Latitude	Longitude	SST [°C] (Reconstructed)	Age [ka BP] (Chronology follows Lisiecki a...)	SST anomaly [°C] (Anomaly relative to the World...)
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	0	2.7054022
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	2	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	4	2.5586121
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	6	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	8	2.8400495
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	10	2.2667146
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	12	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	14	0.7203513
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	16	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	18	0.2578653
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	20	-0.2430974
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	22	
CHAT_1k	CHAT-1K	Weaver et al. (1998)	doi:10.1029/97PA02982	Weaver et al. (1998)	doi:10.1029/97PA02982	A	F	-41.5833	-171.5000	14.9134535	24	
